description,category,price,source_image
Date: 6/5/2016 Invoice No :,food,63521.0,page15_img2
Tax RegisteredNo,food,123456.0,page15_img2
23.75 Labour 48.0@,food,958.0,page15_img3
5@ Nails and screws,food,40.0,page15_img3
1 Paint and Plywood 1808.80,food,1000.0,page15_img3
48 Imported wall tiles,food,560.0,page15_img3
1 Freight 150.0@,food,150.8,page15_img3
1 Sub-contractor : Tile-tt,food,228.0,page15_img3
Tax,food,439.2,page15_img3
Total Due[ $,food,3367.28,page15_img3
yment into Bank Account No. 12,food,7891.0,page16_img1
mount Due $,food,3367.2,page16_img1
@ No tz $,food,3521.0,page17_img1
nto Bank Account No. 12 3456 789112: $,food,12.0,page17_img1
59:,food,36.0,page17_img1
fi Bis processed in this session:,food,1.0,page17_img2
